description,name,price,url
"Build: Semi-hollow with centre block and double cutaway. Top: Spruce, laminated. Back and sides: Maple laminated. Neck: Maple. Fretboard: Ovangkol. Fretboard inlays: White pearl blocks. 3-Ply body binding. Neck profile: Narrow C. Scale: 635 mm. Nut width: 43 mm. Pickup: 1 Seymour Duncan Designed HB-102N (neck) and Seymour Duncan Designed HB 101B (bridge) humbuckers. 2 Volume controls and 2 tone controls. 3-Way toggle switch. EG2P socket. 5-Ply Tortoise Scalini pickguard. Rotomatic Stairstep machine heads. Chrome-plated Tune-o-Matic bridge. D'Angelico stopbar tailpiece. Chrome hardware. Colour: Champagne. Gig bag included. Electric Guitar",DAngelico Premier Mini DC Champagne,€799,https://www.thomann.de/ie/dangelico_premier_mini_dc_champagne.htm
"Players Edition. Professional Collection. Centre block double cut. Body: Flamed maple, laminated. Neck: Maple. Neck profile: Standard U. Fretboard: Ebony. 22 Medium jumbo frets. Pearloid Thumbnail fretboard inlays. Nut width: 43 mm. Scale: 625 mm. Pickups: 2 High-Sensitive Filter'Tron. 1 Toggle switch. Bigsby B7GP string-thru tremolo. Anchored Adjusto-Matic bridge. Gotoh locking machine heads. Gold hardware. Colour: Orange Stain. Incl. G6267 Deluxe case. Electric Guitar",Gretsch G6620TFM PE Nashville DC OS,"€2,859",https://www.thomann.de/ie/gretsch_g6620tfm_pe_nashville_dc_os.htm
Professional Collection. Design: Hollowbody with center block. Body: Maple laminated. Neck: maple. Fretboard: Ebony. Pearloid Neo-Classic Thumbnail Fingerboard inlays. Neck profile: standard U. Nut width: 42.90 mm. Scale: 625 mm. 22 Medium jumbo frets. Pickups: 2 High-Sensitive FilterTrons. 1 Toggle switch. Anchored Adjusto-Matic bridge. Bigsby B7GP String Thru Tremolo. Gotoh Locking machine heads. Colour: Round-Up Orange. Includes G6267 Deluxe case. Electric Guitar,Gretsch G6620T-RUO PE Nashville DC,"€2,599",https://www.thomann.de/ie/gretsch_g6620t_ruo_pe_nashville_dc.htm
Mahogany body. Maple top. Mahogany neck. Rosewood fretboard (. ). Fretboard inlays: S2 Birds. Neck profile: Pattern regular. Scale: 635 mm. 22 Frets. Pickups: 2 PRS S2 # 7 humbuckers. 1 Volume and 1 tone control (push / pull). 3-Way blade switch. PRS S2 tremolo. PRS S2 locking machine heads. Custom truss-rod cover. Nickel hardware. Colour: Whale blue. Includes gigbag. Electric guitar,PRS S2 Custom 22 Semi-Hollow WB,"€1,999",https://www.thomann.de/ie/prs_s2_custom_22_semi_hollow_wb.htm
"Professional collection. Body: Maple, laminated. Neck: Maple. Neck profile: Standard U Shape. Fretboard: Ebony. 22 Medium jumbo frets. Aged pearloid thumbnail fretboard inlays. Nut width: 43 mm. Scale: 625 mm. Pickups: 2 FullTrons. Toggle switches. Bigsby B7GP string thru tremolo. Anchored Adjusto-Matic bridge. Gotoh locking machine heads. Golden hardware. Colour: Cadillac green. G6241 deluxe case included. Electric Guitar",Gretsch G6659TG PE Broadkaster JR,"€2,555",https://www.thomann.de/ie/gretsch_g6659tg_pe_broadcaster_jr.htm
Vintage series. Build: Semi-hollow with mahogany sustain block (Entandrophragma cylindricum) and F-holes. Body: Maple. Arched top. Set-in neck: Canadian maple. Fretboard: Amaranth. Fretboard radius: 350 mm. Dot fretboard inlays. Cream binding on the body and neck. 22 Frets. Scale: 628 mm. Nut width: 43 mm. Double action truss rod. Pickups: 2 Vintage-style humbuckers. 3-Way pickup selector. 2 Volume knobs and 2 tone knobs. Hardware: Chrome. Tune-O-Matic bridge. Closed die-cast machine heads. Stringing: Harley Benton .010 - .046. Colour: Black high gloss. Electric Guitar,Harley Benton HB-35 BK Vintage Series,€199,https://www.thomann.de/ie/harley_benton_hb35_bk_vintage_series.htm
"Body: Maple. Top: Maple. Neck: Mahogany. Fretboard: Rosewood. Fretboard inlays: Dots. Neck profile: Rounded ""C"". 22 Frets. Scale: 628 mm. Nut width: 42.8 mm. Pickup: 2 Calibrated T-Type humbuckers. ABR-1 bridge. Grover Kidney machine heads. Nickel hardware. Colour: Vintage Ebony. Case included. Made in USA. Electric Guitar",Gibson ES-335 Dot Vintage Ebony,"€2,999",https://www.thomann.de/ie/gibson_es_335_dot_vintage_ebony.htm
"DAngelico Excel SS Black Dog; Semi-Hollowbody guitar with Center Block and Single Cutaway, Top, Bottom and Sides: Laminated Mahogany, 5-ply Binding, 3-piece Neck (Maple/Walnut/Maple), Gloss, Ebony Fingerboard, Mother of Pearl Split Block Inlays, Scale: 628 mm, Nut Width: 43mm, 22 ferets; Pickup (Neck): Seymour Duncan 59 Humbucker, Pickup: (Bridge) Seymour Duncan 59 Humbucker, 2 x Humbuckers, 2 Volume, 2 Tone (push/pull), 3 Way Toggle Switch, C-Shape Neck Profile, Grover Super Rotomatic Tuners, Solid Black Scalini Pickguard (5 ply), EG2P Jack, Roller Tune-o-Matic Bridge, D'Angelico B-70 Tremolo Tailpiece, Gold Hardware.Finish Black Dog, incl. Case",DAngelico Excel SS Black Dog,"€1,999",https://www.thomann.de/ie/dangelico_excel_ss_black_dog.htm
"Custom Shop. Body: Maple/Poplar/Maple. Neck: Mahogany. Fretboard: Rosewood. Neck profile: Authentic '64 medium ""C"". Binding: Royalite. Holly Head veneer. 22 Frets. Scale: 628 mm. Fretboard inlays: Split-diamond. Pickup systems: 2x Custombucker Alnico III (unpotted) humbuckers. Controls: 2x Volume, 2x Tone. 3-Way toggle switch. CTS Potentiometers. Paper-in-oil capacitors. Bridge: ABR-1. Single diamond trapeze tailpiece with Trini Lopez inlay. Hardware: Nickel. Pickguard: 5-Ply. Machine heads: Kluson. Finish: Ebony VOS. Includes a case and certificate. Made in the USA. Electric Guitar",Gibson 1964 Trini Lopez EB VOS,"€5,499",https://www.thomann.de/ie/gibson_1964_trini_lopez_eb_vos.htm
"Gretsch G6136TG Players Edition Falcon Midnight Sapphire electric guitar, players edition, center block, laminated maple body, maple neck, standard ""U"" shape, ebony fretboard (Diospyros crassiflora), 22x medium jumbo frets, pearloid neo-classic thumbnail inlays, nut width 42,90mm, scale 625mm, pickups 2x FT-67 FilterTron, 1x toggle switch, bigsby B6GP string thru tremolo, anchored adjusto-matic bridge, gotoh locking tuners, gold hardware, finish midnight sapphire, incl. G6267 deluxe case",Gretsch G6136TG Falcon MS,"€3,666",https://www.thomann.de/ie/gretsch_g6136tg_falcon_ms.htm
Build: Semi-hollow with centre block. Top: Laminated spruce. Back and sides: Laminated flamed maple. 3-Piece maple / walnut / maple neck. Fretboard: Ebony. Mother-of-pearl split block fretboard inlays. Narrow neck with C-neck profile. 5-Ply body binding. 22 Frets. Nut width: 43 mm. Scale: 629 mm. Pickup: 2 Seymour Duncan '59 humbucker with gold cover. 2 Volume controls. 2 Tone controls with push/pull function for coil split. 3-Way toggle switch. Grover Super Rotomatic machine heads. 5-Layer Tortoise Scalini pickguard. EG2P jack socket. D'Angelico stopbar tailpiece. Gold-plated hardware. Colour: Black. D'Angelico case included. Electric Guitar,DAngelico Excel Mini DC Black,"€1,750",https://www.thomann.de/ie/dangelico_excel_mini_dc_black.htm
"Design: Semi-hollow with sustain centre block. Body dimensions: 46 x 34 x 4.5 cm. Top: Arched, laminated spruce. Back: Arched, laminated flamed maple. Neck: Maple. Fretboard: Rosewood (Dalbergia latifolia). Scale: 647 mm. Nut width: 42 mm. Frets: 22 Jumbo. Fretboard radius: 12 mm. Dual action truss rod. Pickups: 1 Duesenberg DP90 Domino single coil and 1 Grand Vintage humbucker. Controls: Master volume- and master tone. 3-Way switch. Tremolo: Duesenberg Diamond Deluxe. Hardware: Nickel. Duesenberg Z-Tuner. Finish: Surf Green. Includes a Duesenberg case. Electric Guitar",Duesenberg Starplayer TV Surf Green,"€2,333",https://www.thomann.de/ie/duesenberg_starplayer_tv_surf_green.htm
"Hollow Body. Double cut. Body: Laminated mahogany. Top: Laminated mahogany. Neck: Nato. Fretboard: Laurel. Neck attachment: Set-in. Neck profile: Thin U. Inlays: Pearloid ovals. 22 Medium jumbo frets. Nut: Synthetic bone. Nut width: 42.9 mm (1.69""). Scale: 629 mm (24.76""). Fretboard radius: 305 mm (12.01""). Pickguard: Single-ply black. Pickups: FideliSonic 90 (bridge), FidelicSonic 90 (neck). Controls: 2x Volume, master volume, master tone. Switch: 3-Way. Tremolo: Adjusto-Matic with Bigsby B70. Hardware finish: Nickel. Machine heads: Die-cast. Colour: Brownstone. Original stringing: NPS .010 - .046. Streamliner Electric Guitar",Gretsch G2622T-P90 Strml CB DC BrStone,€572,https://www.thomann.de/ie/gretsch_g2622t_p90_strml_cb_dc_brstone.htm
Josh Homme signature model. Semi-hollow design with double cutaway. Australian blackwood body. Archtop. Queensland maple neck. Rosewood fretboard. Scale: 648 mm. 22 Frets. 2 Lollar Imperial humbucker pickups. 1 Tone- and 2 volume controls with coil tap function. Toggle switch. Colour: Tobacco Sunburst Satin. Includes a case. Electric Guitar,Maton BB1200JH Josh Homme,"€3,290",https://www.thomann.de/ie/maton_bb1200jh_josh_homme.htm
"Design: Semi-hollow with double cutaway and center block. Body: Maple laminated. Body width: 406 mm (16""). Neck: Nato. Fretboard: Laurel. Pearloid Big Block fretboard inlays. Fretboard binding. Fretboard radius: 12"" (305 mm). Nut width: 42.90 mm (1,6875""). Scale: 629 mm. 22 Medium frets. Pickups: 2 Broad'Tron BT-2S humbuckers. 2 x Volume, 1 x master tone and 1 x master volume control. V-Stoptail tailpiece. Anchored Adjusto-Matic bridge. Colour: Gunmetal. Suitable case: Art..  (not included). Electric Guitar",Gretsch G2622 PM Streamliner,€459,https://www.thomann.de/ie/gretsch_g2622_pm_streamliner.htm
"USA Custom Shop - Masterbuilt. Design: 17""/ 2.75 hollowbody with single cutaway. Body: Maple. Neck: Maple. Fretboard: Ebony. Neck profile: Medium ""C"" - .860 at the 1st fret and .950 at the 10th fret. Scale: 648 mm. Nut width: 43 mm. 22 Frets. Mother-of-pearl ""Humpblock"" inlay position markers with Feather engraving. Pickups: 2 DynaSonics. Gold-plated Gretsch Synchro-SonicTM bridge sssembly. Bigsby B6GBVF vibrato tailpiece. Hardware: Gold-plated. Headstock: V-Shaped Falcon. Gold-sparkle fretboard and headstock bindings. Finish: Relic Nitro. Colour: Aged white. Includes a case. Made in the USA. Electric Guitar",Gretsch G6136T-55 White Falcon Relic,"€11,690",https://www.thomann.de/ie/gretsch_g6136t_55_white_falcon_relic.htm
"Gibson 1959 ES-355 Ebony Murphy Lab Ultra Light Aged, Custom Shop, electric guitar, maple/poplar/maple body, mahogany neck (swietenia macrophylla), ebony fretboad (diospyros crassiflora), authentic ´59 medium ""C"" shape, 22 Frets, Scale 628mm, Pearl Block Inlays, 5-ply Binding, 2x Custombucker Alnico III (unpotted), ABR-1 Bridge & Aluminium stoptail, Gold Hardware, Kluson Waffleback Tuners, Finish Antique Ebony - Ultra Light Aged (weather checking), incl. Case and Custom Shop Certificate of Authenticity, Made in USA",Gibson 1959 ES-355 Reissue EB ULA,"€6,499",https://www.thomann.de/ie/gibson_1959_es_355_reissue_eb_ula.htm
Build: Semi-hollow with centre block. Laminated spruce top. Back and sides: Laminated flamed maple. 3-Piece maple / walnut / maple neck. Fretboard: Ebony. Mother-of-pearl split block fretboard inlays. Narrow neck with C-neck profile. 5-Ply body binding. 22 Frets. Nut width: 43 mm. Scale: 629 mm. Pickup: 2 Seymour Duncan '59 humbucker with gold cover. 2 Volume controls. 2 Tone controls with push/pull function for coil split. 3-Way toggle switch. Grover Super Rotomatic machine heads. 5-Layer Tortoise Scalini pickguard. EG2P jack socket. D'Angelico stopbar tailpiece. Gold-plated hardware. Colour: Cherry. D'Angelico case included. Electric Guitar,DAngelico Excel Mini DC Cherry,"€1,648",https://www.thomann.de/ie/dangelico_excel_mini_dc_cherry.htm
"G&L Tribute Asat Classic Bluesboy Semi-Hollow RB; T-Style semi hollow; body: sassafras with mit tone chamber and f-hole; neck maple; fretboard: rosewood (Dalbergia Latifolia); bolt on neck; neck profile: medium C; inlays: dots; frets: 22 medium jumbo; nut width: 41,3 mm; scale: 650 mm (25 1/2""); fretboard radius: 9,5""; pickups: 1 Paul Gagon designed G&L AS4255C Alnico neck humbucker with chrome cover, 1 Leo Fender designed G&L MFD Single Coil made in Fullerton (CA, USA); electronic: Vol , Tone; switch: 3-way-toggle; hardware chrome; tuners: G&L 18:1; colour: redburst; string gauge: .010-.046",G&L Tribute Asat Classic Blues RB,€689,https://www.thomann.de/ie/gl_tribute_asat_classic_blues_rb.htm
"Type: Semi-hollow with double cutaway and center block. Laminated maple top, back and sides. Maple neck. Neck profile: Narrow C-shape. Ovangkol fretboard. White pearloid fretboard inlays. Scale: 629 mm. Nut width 43 mm. 22 Frets. Pickups: Seymour Duncan Designed HB-102N (neck) with chrome cover and Seymour Duncan Designed HB 101B humbucker with chrome cover. 2 Volume and 2 tone controls. 3-Way switch. D'Angelico Rotomatic stairstep machine heads. 5-Ply Tortoise Scalini pickguard. EG2P Switchcraft socket. D'Angelico stopbar tailpiece. Chromed hardware. Colour: Champagne. includes gigbag. Electric guitar",DAngelico Premier DC Champagne Stopbar,€666,https://www.thomann.de/ie/dangelico_premier_dc_champagne.htm
"Custom Shop. Maple / poplar / maple body. Mahogany neck. Rosewood fretboard. Authentic '61 Skinny ""C"" profile. Royalite binding. Holly Head veneer. 22 Frets. 628 mm Scale. Pearloid Dot inlays. 2 x Custombucker Alnico III (unpotted) humbucker pickups. 2 x Volume, 2 x tone controls. 3-Way toggle switch. CTS pots. Paper-in-oil capacitors. ABR-1 bridge & lightweight aluminium tailpiece. Nickel hardware. 5-Ply pickguard. Vintage double ring tulip machine heads. Finish: 60s Cherry VOS. Includes case and certificate. Made in USA. Electric Guitar",Gibson 1961 ES-335 Reissue 60s CH VOS,"€5,299",https://www.thomann.de/ie/gibson_1961_es_335_reissue_60s_ch_vos.htm
"Gibson 1964 Trini Lopez Reissue Ebony Murphy Lab Ultra Light Aged, Custom Shop, electric guitar, maple/poplar/maple body, mahogany neck (swietenia macrophylla), rosewood fretboard (dalberiga latifolia), authentic ´64 medium ""C"" neck shape, Holly Head Veneer, 22x Frets, Scale 628mm, split diamond fretboard inlays, 1-ply royalite binding, 2x Custombucker Alnico III (unpotted) pickups, paper-in-oil capicators, ABR-1 Bridge & Single Diamond Tailpiece /w trini lopez insert, Nickel Hardware, 5--pl Pickguard, kluson Tuners, Finish: ebony - Ultra Light Aged (weather checking) incl. Case and certificate, made in USA",Gibson 1964 Trini Lopez EB ULA,"€5,999",https://www.thomann.de/ie/gibson_1964_trini_lopez_eb_ula.htm
"Gibson 1964 ES-335 Reissue Vintage Natural Murphy Lab Ultra Light Aged, Custom Shop, electric guitar, maple/poplar/maple body, mahogany neck (swietenia macrophylla), rosewood fretboard (dalberiga latifolia), authentic ´61 skinny ""C"" neck shape, Holly Head Veneer, 22x Frets, Scale 628mm, small block inlays, 1-ply royalite binding, 2x Custombucker Alnico III (unpotted) pickups, paper-in-oil capicators, ABR-1 Bridge & Lightweight Aluminium Tailpiece, Nickel Hardware, 5-ply Pickguard, Vintage Double Ring Tulip Tuners, Finish: Vintage Natural  - Ultra Light Aged (weather checking), incl. Case and certificate, made in USA",Gibson 1964 ES-335 Reissue 60s VN ULA,"€5,799",https://www.thomann.de/ie/gibson_1964_es_335_reissue_60s_vn_ula.htm
"Gretsch G6120TG Player Edition Nashville Orange Stain, Hollow Body Electric Guitar; body: laminated maple; neck: maple; fingerboard: ebony (diospyros crassiflora); neck mount: set; neck shape: vintage v; inlays: thumbnail; 22 medium jumbo frets; nut: derlin; nut width: 42,8 mm (1,69""); scale: 624 mm (24,57""); fingerboard radius (compound): 241 mm (9,5"") - 305 mm (12""); pickguard: gold plexi with artist signature and Gretsch logo; binding: aged white; pickups: 2x FT-67 FilterTron; controls: 2x volume, master volume; switch: 3-way toggle; 3-way tone switch; tremolo: Bigsby B6GP string through/ adjusto-matic with ebony base (diospyros crassiflora); hardware finish: gold; tuners: Gotoh locking; incl. case; colour: orange stain; stock strings: .010 - .046",Gretsch G6120TG Nashville Orange Stain,"€2,859",https://www.thomann.de/ie/gretsch_g6120tg_nashville_orange_stain.htm
"Body: Canadian cherry. Top: Canadian cherry. Neck: Mahogany. Fretboard: Rosewood (Dalbergia latifolia). Neck attachment: Set-in. Fretboard inlays: Dots. 22 Frets. Nut: Graph Tech. Nut width: 44 mm (1.72""). Scale: 629 mm (24.75""). Fretboard radius: 305 mm (12""). Pickguard: Black. Pickups: Seymour Duncan 59 SH-1b (bridge) - Seymour Duncan Jazz SH-2n (neck). Controls: Volume - Tone. Switch: 3-Way toggle. Bridge: Graph Tech ResoMax. Hardware finish: Chrome. Machine head ratio: Bass side 18:1, Treble side 26:1. Includes a gig bag. Colour: Sunburst. Original strings: .010 - .046. Made in Canada. Hollow Body Thinline Electric Guitar",Godin Montreal Premiere Sunburst,"€1,849",https://www.thomann.de/ie/godin_montreal_premiere_sunburst.htm
"Build: Semi-hollow body with sustain centre block. Arched, laminated top: Spruce. Arched, laminated body: Flamed maple. Neck: Maple. Fretboard: Rosewood. Body dimensions: 46 x 34 x 4.5 cm. 22 Jumbo frets. Fretboard radius: 305 mm. Dual action truss rod. Scale: 647 mm. Nut width: 42 mm. Pickup: Duesenberg DP90 Domino single coil (neck) and Grand Vintage humbucker (bridge). Master volume and master tone controls. 3-Way switch. Duesenberg Diamond Deluxe tremolo. Nickel hardware. Duesenberg Z-Tuner machine heads. Colour: Narvik Blue. Duesenberg case included. Electric Guitar",Duesenberg Starplayer TV Narvik Blue,"€2,333",https://www.thomann.de/ie/duesenberg_starplayer_tv_narvik_blue.htm
